Lat,Long,Street,Dummy1,PriceSEK,PriceSQM,Dummy2
0.0,0.0,KALMGATAN 9:JOHANNESHOV:STOCKHOLM:Sweden,SLUTPRISSEK,2660000,76000,KR/M2
0.0,0.0,NYNASVAGEN 311:GAMLAENSKEDE:STOCKHOLM:Sweden,SLUTPRISSEK,2750000,66265,KR/M2
0.0,0.0,HALLANDSGATAN 30:STOCKHOLM:52 M2   2 RUM:Sweden,SLUTPRISSEK,4020000,77308,KR/M2
0.0,0.0,LOGVAGEN 83:SPANGA:STOCKHOLM:Sweden,SLUTPRISSEK,2315000,32606,KR/M2
0.0,0.0,VARTAVAGEN 17:OSTERMALM/NEDREGARDET:STOCKHOLM:Sweden,SLUTPRISSEK,3995000,75377,KR/M2
0.0,0.0,TELLUSBORGSVAGEN 92: TELLUSBORGSVAGEN 92:TELEFONPLAN/MIDSOMMARKRANSEN:Sweden,SLUTPRISSEK,2800000,80000,KR/M2
0.0,0.0,ASTRAKANGATAN 100:HASSELBY-LOVSTAALLÉ:STOCKHOLM:Sweden,SLUTPRISSEK,2250000,31250,KR/M2
0.0,0.0,ULLVIDEVAGEN 63A: ULLVIDEVAGEN 63A:VALLINGBY:Sweden,SLUTPRISSEK,2445000,30949,KR/M2
0.0,0.0,KARLSBORGSVAGEN 9:HAMMARBYHOJDEN:STOCKHOLM:Sweden,SLUTPRISSEK,2900000,70732,KR/M2
0.0,0.0,NYKARLEBYGATAN 196:KISTA/AKALLA:STOCKHOLM:Sweden,SLUTPRISSEK,1700000,40000,KR/M2
0.0,0.0,VADMALSVAGEN 16 3TR:BROMMA/RIKSBY:STOCKHOLM:Sweden,SLUTPRISSEK,2750000,51402,KR/M2
0.0,0.0,HALLANDSGATAN 48:SODERMALM:STOCKHOLM:Sweden,SLUTPRISSEK,2620000,124762,KR/M2
0.0,0.0,SJOVIKSBACKEN 7:LILJEHOLMSKAJEN:STOCKHOLM:Sweden,SLUTPRISSEK,3900000,70909,KR/M2
0.0,0.0,JUNGMANSGRAND 2:GRONDAL:STOCKHOLM:Sweden,SLUTPRISSEK,2600000,83871,KR/M2
0.0,0.0,ERIK DAHLBERGSGATAN 36:GARDET/OSTERMALM:STOCKHOLM:Sweden,SLUTPRISSEK,3000000,125000,KR/M2
0.0,0.0,KLOCKHAMMARSGRAND 31:HAGSATRAANGSSATRA:STOCKHOLM:Sweden,SLUTPRISSEK,3580000
0.0,0.0,VASASTAN:STOCKHOLM:47 M2   2 RUM:Sweden,SLUTPRISSEK,5460000,116170,KR/M2
0.0,0.0,LILJEHOLMSGRAND 2:LILJEHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,4300000,71667,KR/M2
0.0,0.0,RADMANSGATAN 80A:VASASTAN-TEGNÉRLUNDEN:STOCKHOLM:Sweden,SLUTPRISSEK,3620000,116774,KR/M2
0.0,0.0,NORR MALARSTRAND 88:KUNGSHOLMENNORRMALARSTRAND:STOCKHOLM:Sweden,SLUTPRISSEK,3950000,110644,KR/M2
0.0,0.0,KRISTINEBERGSVAGEN 1:KUNGSHOLMENTHORILDSPLAN:STOCKHOLM:Sweden,SLUTPRISSEK,3250000,79268,KR/M2
0.0,0.0,LUNDAGATAN 42B:SODERMALMHOGALID:STOCKHOLM:Sweden,SLUTPRISSEK,3800000,93827,KR/M2
0.0,0.0,LARSBODAVAGEN 70 7TR:FARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,2750000,38194,KR/M2
0.0,0.0,AGESTA BROVAG 82:FARSTADAL:STOCKHOLM:Sweden,SLUTPRISSEK,2660000,54286,KR/M2
0.0,0.0,BOFORSGATAN 7: BOFORSGATAN 7:FARSTA:Sweden,SLUTPRISSEK,2540000,43051,KR/M2
0.0,0.0,KUNGSHOLMS STRAND 137:KUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,3430000,92703,KR/M2
0.0,0.0,SANKT GORANSGATAN 153: SANKT GORANSGATAN 153:KUNGSHOLMEN:Sweden,SLUTPRISSEK,2420000,107556,KR/M2
